# Generated by scripts/gen-oui.py from the IEEE MA-L registry. Do not edit.
# prefix,vendor
0022B4,Arris
0022BD,Cisco
0022BE,Cisco
0022CE,Cisco
0022D7,Nintendo
0022F3,Sharp
0022FA,Intel
0022FB,Intel
0022FC,Nokia
0022FD,Nokia
002303,Liteon
002304,Cisco
002305,Cisco
00230B,Arris
002312,Apple
002314,Intel
002315,Intel
002318,Toshiba
002326,Fujitsu
002331,Nintendo
002332,Apple
002333,Cisco
002334,Cisco
002339,Samsung
00233A,Samsung
002345,Sony
002348,Sagemcom
00234D,Foxconn
00234E,Foxconn
002354,ASUSTek
00235A,Compal
00235D,Cisco
00235E,Cisco
002368,Zebra
002369,Linksys
00236C,Apple
002374,Arris
002375,Arris
002376,HTC
00237D,HP
00238A,Ciena
00238B,Quanta
002395,Arris
002399,Samsung
00239C,Juniper
0023A2,Arris
0023A3,Arris
0023AB,Cisco
0023AC,Cisco
0023AE,Dell
0023AF,Arris
0023B4,Nokia
0023BE,Cisco
0023C2,Samsung
0023CC,Nintendo
0023CD,TP-Link
0023D4,TI
0023D6,Samsung
0023D7,Samsung
0023DF,Apple
0023EA,Cisco
0023EB,Cisco
0023ED,Arris
0023EE,Arris
0023F1,Sony
0023F8,Zyxel
002401,D-Link
002403,Nokia
002404,Nokia
002413,Cisco
002414,Cisco
002417,Technicolor
00241D,Gigabyte
00241E,Nintendo
002421,MSI
002423,AzureWave
00242B,Foxconn
00242C,Foxconn
002436,Apple
002437,Motorola
00243D,Emerson
002444,Nintendo
002445,Adtran
002450,Cisco
002451,Cisco
002454,Samsung
00246C,Aruba
002473,3Com
00247B,Actiontec
00247C,Nokia
00247D,Nokia
002481,HP
002482,Ruckus
002483,LG
00248C,ASUSTek
00248D,Sony
002490,Samsung
002491,Samsung
002492,Motorola
002493,Arris
002495,Arris
002497,Cisco
002498,Cisco
0024A0,Arris
0024A1,Arris
0024A5,Buffalo
0024B2,Netgear
0024B6,Seagate
0024BA,TI
0024BE,Sony
0024C1,Arris
0024C3,Cisco
0024C4,Cisco
0024D2,Askey
0024D6,Intel
0024D7,Intel
0024DC,Juniper
0024E8,Dell
0024E9,Samsung
0024EF,Sony
0024F3,Nintendo
0024F7,Cisco
0024F9,Cisco
0024FE,AVM
0024FF,QLogic
002500,Apple
002512,ZTE
00251B,Philips
002522,ASRock
00252E,Cisco
002538,Samsung
002545,Cisco
002546,Cisco
002547,Nokia
002548,Nokia
00254B,Apple
002556,Foxconn
00255C,NEC
002564,Dell
002566,Samsung
002567,Samsung
002568,Huawei
002569,Sagemcom
002583,Cisco
002584,Cisco
002586,TP-Link
00258B,Mellanox
002590,Supermicro
00259C,Linksys
00259E,Huawei
0025A0,Nintendo
0025AE,Microsoft
0025B3,HP
0025B4,Cisco
0025B5,Cisco
0025BC,Apple
0025C4,Ruckus
0025CF,Nokia
0025D0,Nokia
0025D3,AzureWave
0025E5,LG
0025E7,Sony
0025F1,Arris
0025F2,Arris
002608,Apple
00260A,Cisco
00260B,Cisco
002618,ASUSTek
002622,Compal
00262D,Wistron
002636,Arris
002637,Samsung
002641,Arris
002642,Arris
002644,Technicolor
00264A,Apple
002651,Cisco
002652,Cisco
002654,3Com
002655,HP
002659,Nintendo
00265A,D-Link
00265B,Hitron
00265C,Foxconn
00265D,Samsung
00265E,Foxconn
00265F,Samsung
002662,Actiontec
002668,Nokia
002669,Nokia
002673,Ricoh
002688,Juniper
002691,Sagemcom
002698,Cisco
002699,Cisco
00269E,Quanta
0026AB,Epson
0026B0,Apple
0026B6,Askey
0026B8,Actiontec
0026B9,Dell
0026BA,Arris
0026BB,Apple
0026C6,Intel
0026C7,Intel
0026CA,Cisco
0026CB,Cisco
0026CC,Nokia
0026D9,Arris
0026E2,LG
0026E8,Murata
0026ED,ZTE
0026F2,Netgear
002709,Nintendo
00270C,Cisco
00270D,Cisco
00270E,Intel
002710,Intel
002719,TP-Link
002722,Ubiquiti
002790,Cisco
0027E3,Cisco
0028F8,Intel
0029C2,Cisco
002A10,Cisco
002A6A,Cisco
002CC8,Cisco
002EC7,Huawei
002F5C,Cisco
003005,Fujitsu
003013,NEC
003019,Cisco
00301E,3Com
003024,Cisco
003040,Cisco
003048,Supermicro
003065,Apple
00306E,HP
003071,Cisco
003078,Cisco
00307B,Cisco
003080,Cisco
003085,Cisco
003088,Ericsson
003094,Cisco
003096,Cisco
0030A3,Cisco
0030AF,Honeywell
0030B6,Cisco
0030BD,Belkin
0030C1,HP
0030C4,Canon
0030F2,Cisco
003126,Nokia
003146,Juniper
003192,TP-Link
003217,Cisco
0034DA,LG
0034FE,Huawei
00351A,Cisco
0035FF,TI
003676,Arris
00376D,Murata
0037B7,Sagemcom
0038DF,Cisco
003A7D,Cisco
003A98,Cisco
003A99,Cisco
003A9A,Cisco
003A9B,Cisco
003A9C,Cisco
003A9D,NEC
003C10,Cisco
003C84,Silicon Labs
003DE1,Huawei
003DE8,LG
003EE1,Apple
004003,Emerson
00400B,Cisco
004020,CommScope
004026,Buffalo
004043,Nokia
004084,Honeywell
00408C,Axis
004096,Cisco
0041D2,Cisco
004238,Intel
00425A,Cisco
004268,Cisco
00451D,Cisco
00464B,Huawei
004A77,ZTE
004E01,Dell
004E35,HP
004F1A,Huawei
005004,3Com
005009,Philips
00500B,Cisco
00500F,Cisco
005013,Seagate
005014,Cisco
00502A,Cisco
00503E,Cisco
005040,Panasonic
005043,Marvell
005050,Cisco
005053,Cisco
005054,Cisco
005056,VMware
005073,Cisco
005080,Cisco
005081,Murata
00508B,HP
005094,Arris
005099,3Com
0050A2,Cisco
0050A7,Cisco
0050BA,D-Link
0050BD,Cisco
0050CC,Seagate
0050D1,Cisco
0050DA,3Com
0050E2,Cisco
0050E3,Arris
0050E4,Apple
0050F0,Cisco
0050F2,Microsoft
0050FC,Edimax
0051ED,LG
00562B,Cisco
0056CD,Apple
0057C1,LG
0057D2,Cisco
0059DC,Cisco
005A13,Huawei
005B94,Apple
005D73,Cisco
005F67,TP-Link
005F86,Cisco
005FBF,Toshiba
006008,3Com
006009,Cisco
00602F,Cisco
006037,NXP
00603E,Cisco
006047,Cisco
006048,Dell
00604C,Sagemcom
006057,Murata
00605C,Cisco
006067,Acer
006070,Cisco
006083,Cisco
00608C,3Com
006097,3Com
0060B0,HP
0060B9,NEC
0060D3,AT&T
0060DC,NEC
006151,Huawei
006171,Apple
00620B,Broadcom
0062EC,Cisco
006440,Cisco
006619,Huawei
00664B,Huawei
00682B,Huawei
0068EB,HP
006B6F,Huawei
006B9E,Vizio
006BF1,Cisco
006CBC,Cisco
006D52,Apple
006F64,Samsung
007147,Amazon
0071C2,Pegatron
0071CC,Foxconn
007204,Samsung
007278,Cisco
0073E0,Samsung
007686,Cisco
00778D,Cisco
0077E4,Nokia
007888,Cisco
00789E,Sagemcom
007C2D,Samsung
007D60,Apple
007E95,Cisco
007F28,Actiontec
008037,Ericsson
00805F,HP
008077,Brother
0080A0,HP
0080A7,Honeywell
0080C8,D-Link
0080E1,STMicro
0080F0,Panasonic
0081C4,Cisco
0081F9,TI
00869C,Palo Alto
008701,Samsung
008731,Cisco
008764,Cisco
008865,Apple
008A55,Huawei
008A76,Apple
008A96,Cisco
008E73,Cisco
008EF2,Netgear
009004,3Com
00900C,Cisco
009020,Philips
009021,Cisco
009027,Intel
00902B,Cisco
009030,Honeywell
00905F,Cisco
009069,Juniper
00906D,Cisco
00906F,Cisco
009075,NEC
00907F,WatchGuard
009086,Cisco
009092,Cisco
009096,Askey
00909C,Arris
0090A6,Cisco
0090A9,WD
0090AB,Cisco
0090B1,Cisco
0090BF,Cisco
0090D0,Technicolor
0090D9,Cisco
0090E4,NEC
0090F1,Seagate
0090F2,Cisco
0090FA,Emulex
00919E,Intel
009337,Intel
0094EC,Huawei
00991D,Huawei
009ACD,Huawei
009AD2,Cisco
009C02,HP
009D6B,Murata
009E1E,Cisco
009EC8,Xiaomi
00A024,3Com
00A040,Apple
00A060,Acer
00A077,Fujitsu
00A0A4,VirtualBox
00A0C5,Zyxel
00A0C6,Qualcomm
00A0C8,Adtran
00A0C9,Intel
00A0CA,Fujitsu
00A0CC,Liteon
00A0F8,Zebra
